City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
155,bundaberg,0,AU,1538538881,91,-24.87,152.35,71.45,12.57
156,tanout,0,NE,1538538881,62,14.97,8.88,75.77,3.51
157,namibe,12,AO,1538538881,100,-15.19,12.15,66.86,3.96
158,mangalam,40,IN,1538537400,74,12.6,80.07,87.8,6.93
159,ozernovskiy,80,RU,1538538882,85,51.5,156.52,49.76,14.58
160,kahului,40,US,1538535360,65,20.89,-156.47,86.0,13.87
161,saskylakh,76,RU,1538538882,94,71.97,114.09,26.09,4.07
162,flinders,90,AU,1538535600,46,-34.58,150.85,71.6,19.46
163,cabo san lucas,20,MX,1538534820,78,22.89,-109.91,78.8,5.82
164,pangai,75,TO,1538535600,69,-19.8,-174.35,78.8,20.8
165,saint-augustin,90,FR,1538537400,87,44.83,-0.61,57.2,1.12
166,bucerias,40,MX,1538534520,83,20.76,-105.33,84.2,6.08
167,energetik,12,RU,1538538883,96,51.74,58.8,34.28,5.19
168,aguas vermelhas,8,BR,1538538883,90,-15.75,-41.46,65.6,9.55
169,saldanha,0,PT,1538538883,70,41.42,-6.55,44.36,5.53
170,biak,64,ID,1538538883,82,-0.91,122.88,81.62,5.97
171,cheremushskiy,76,RU,1538538883,95,61.27,47.26,43.46,9.1
172,benghazi,92,LY,1538538883,80,32.12,20.07,84.77,16.04
173,guerrero negro,8,MX,1538538883,98,27.97,-114.04,67.13,2.17
174,adrar,0,DZ,1538538884,39,27.87,-0.29,66.32,6.64
175,bushehr,0,IR,1538535600,78,28.97,50.84,80.6,3.74
176,beira,0,ES,1538537400,93,43.2,-8.36,55.4,6.93
177,severo-kurilsk,80,RU,1538538884,97,50.68,156.12,48.68,18.39
178,leningradskiy,32,RU,1538538607,85,69.38,178.42,42.47,15.03
179,rio gallegos,20,AR,1538535600,80,-51.62,-69.22,39.2,23.04
180,vallenar,12,CL,1538538624,71,-28.58,-70.76,50.39,2.06
181,portland,20,US,1538535360,57,45.52,-122.67,60.08,18.34
182,vila velha,75,BR,1538535600,78,-3.71,-38.6,78.8,13.87
183,hemsedal,0,NO,1538538843,90,60.86,8.55,23.39,4.18
184,asyut,0,EG,1538535600,57,27.18,31.19,75.2,6.93
185,torbay,20,CA,1538535600,86,47.66,-52.73,39.2,2.24
186,tigzirt,100,DZ,1538538885,85,36.57,4.2,57.5,4.74
187,santa isabel,56,CO,1538538885,93,4.71,-75.1,65.24,2.17
188,salalah,0,OM,1538535000,56,17.01,54.1,71.6,4.7
189,batagay-alyta,0,RU,1538538885,86,67.8,130.41,19.43,4.07
190,cataguases,20,BR,1538538885,95,-21.39,-42.7,65.96,2.39
191,athabasca,0,CA,1538538885,49,54.72,-113.29,26.72,8.77
192,talnakh,0,RU,1538538886,100,69.49,88.39,31.67,12.01
193,mezen,92,RU,1538538886,98,65.85,44.24,43.55,6.08
194,vale da amoreira,0,PT,1538537400,21,38.65,-9.04,69.8,9.17
195,gelemso,12,ET,1538538886,85,8.81,40.52,51.02,2.95
196,acajutla,80,SV,1538538886,97,13.59,-89.83,73.7,3.85
197,tuktoyaktuk,90,CA,1538535600,92,69.44,-133.03,23.0,10.29
198,northam,0,GB,1538535000,100,51.04,-4.21,53.6,6.93
199,bastrop,1,US,1538537700,98,32.78,-91.91,74.48,2.51
200,salinopolis,56,BR,1538538887,95,-0.61,-47.36,81.08,15.82
201,gat,36,SN,1538538887,97,14.69,-16.54,75.59,2.95
202,casper,1,US,1538535180,50,42.87,-106.31,68.0,28.86
203,medzilaborce,20,SK,1538538887,100,49.27,21.9,34.19,2.73
204,mandalgovi,0,MN,1538538887,60,45.76,106.27,51.47,9.55
205,kulhudhuffushi,92,MV,1538538887,100,6.62,73.07,78.56,13.13
206,yenagoa,68,NG,1538538887,95,4.92,6.26,73.52,3.96
207,kutum,100,SD,1538538887,28,14.2,24.66,83.24,8.21
208,bradford,0,GB,1538536800,81,53.79,-1.75,51.8,9.17
209,lagoa,40,PT,1538537400,88,37.14,-8.45,69.8,8.05
210,mastic beach,90,US,1538537880,89,40.77,-72.85,66.92,5.82
211,dingle,24,PH,1538538888,81,11.0,122.67,84.95,3.85
212,bonavista,0,CA,1538538888,100,48.65,-53.11,41.57,6.53
213,escondido,20,US,1538535360,65,33.12,-117.08,71.06,4.7
214,manzhouli,0,CN,1538538888,46,49.6,117.43,62.36,4.52
215,mount gambier,76,AU,1538538888,90,-37.83,140.78,58.85,7.2
216,oranjestad,20,AW,1538535600,79,12.52,-70.03,84.2,16.11
217,klaksvik,0,FO,1538536800,86,62.23,-6.59,37.4,1.12
218,fairbanks,1,US,1538535480,8,64.84,-147.72,53.06,4.18
219,kavaratti,0,IN,1538538889,100,10.57,72.64,83.24,4.41
220,port moresby,40,PG,1538535600,66,-9.47,147.16,84.2,25.28
221,mahebourg,40,MU,1538535600,82,-20.41,57.7,68.0,2.24
222,viedma,8,AR,1538538889,52,-40.81,-62.99,39.32,5.64
223,macklin,88,CA,1538538889,70,52.34,-109.94,30.77,5.19
224,taormina,40,IT,1538536800,93,37.85,15.29,66.2,4.7
225,srednekolymsk,88,RU,1538538889,73,67.46,153.71,35.45,4.52
226,hualmay,32,PE,1538538889,92,-11.1,-77.61,58.67,1.39
227,chiradzulu,8,MW,1538538889,91,-15.7,35.18,59.21,3.06
228,fortuna,0,ES,1538537400,82,38.18,-1.13,60.8,1.12
229,beloha,0,MG,1538538890,77,-25.17,45.06,55.16,8.77
230,sao filipe,12,CV,1538538890,96,14.9,-24.5,78.65,12.8
231,le port,0,FR,1538538890,82,42.87,1.37,35.63,2.17
232,qaanaaq,24,GL,1538538890,100,77.48,-69.36,22.58,7.54
233,llanes,0,ES,1538538891,73,43.42,-4.75,37.88,2.06
234,taltal,44,CL,1538538891,89,-25.41,-70.49,54.26,2.39
235,opuwo,0,NA,1538538891,31,-18.06,13.84,64.61,6.53
236,nata,20,CY,1538537400,72,34.78,32.57,69.8,3.36
237,acapulco,40,MX,1538534700,79,16.86,-99.88,84.2,10.29
238,druzhba,8,UA,1538538891,92,49.36,25.65,41.48,7.2
239,cidreira,92,BR,1538538891,100,-30.17,-50.22,61.28,11.34
240,freeport,80,BS,1538538759,99,26.54,-78.7,81.98,17.05
241,kamenka,80,RU,1538538892,97,53.19,44.05,52.28,7.31
242,colares,0,PT,1538537400,21,38.8,-9.45,69.8,9.17
243,saint anthony,1,US,1538535360,4,43.97,-111.68,66.92,11.41
244,hasaki,75,JP,1538535600,78,35.73,140.83,71.6,10.29
245,am timan,56,TD,1538538892,80,11.04,20.28,73.25,3.51
246,causapscal,88,CA,1538538892,86,48.35,-67.23,43.19,7.76
247,okato,0,NZ,1538538892,98,-39.19,173.88,56.15,9.66
248,aklavik,40,CA,1538535600,79,68.22,-135.01,28.4,8.05
249,vatne,92,NO,1538536800,81,62.56,6.61,44.6,20.8
250,weyburn,92,CA,1538538880,92,49.67,-103.85,33.2,8.43
251,riyadh,0,SA,1538535600,21,24.63,46.72,71.6,2.24
252,dunedin,20,NZ,1538538893,78,-45.87,170.5,53.81,2.39
253,bandarbeyla,48,SO,1538538617,95,9.49,50.81,76.4,11.68
254,shchelkun,0,RU,1538535600,87,56.3,60.95,42.8,4.47
255,tiksi,56,RU,1538538893,96,71.64,128.87,29.24,10.56
256,emerald,0,AU,1538538893,34,-23.53,148.16,81.71,8.66
257,heihe,0,RU,1538535600,20,50.24,127.51,66.2,11.18
258,port hedland,0,AU,1538537400,16,-20.31,118.58,98.6,9.17
259,taksimo,20,RU,1538538894,60,56.36,114.84,49.13,1.61
260,constitucion,5,MX,1538534940,63,23.99,-104.67,66.2,3.36
261,sept-iles,75,CA,1538535600,86,50.2,-66.38,33.8,6.93
262,cervo,48,BR,1538538894,88,-22.19,-46.24,63.62,2.73
263,feltre,0,IT,1538536800,93,46.02,11.91,51.8,2.24
264,tigil,88,RU,1538538894,70,57.8,158.67,46.79,14.7
265,nouadhibou,88,MR,1538538894,63,20.93,-17.03,79.91,17.72
266,tyrma,0,RU,1538538894,63,50.04,132.17,50.48,7.2
267,whitecourt,75,CA,1538535600,63,54.14,-115.68,28.4,6.93
268,goure,0,NE,1538538895,60,13.98,10.27,76.4,4.18
269,totness,1,US,1538536500,100,33.74,-80.8,73.04,6.64
270,amapa,75,HN,1538539200,88,15.09,-87.97,75.2,4.7
